UUID;Variety Denomination;Variety Denomination Synonym(s) ;UPOV Species Code;Variety Status;EU Variety Status;Variety ID;GMO;Hybrid;Organic;Pollinator;Registration Date;Maintainer N°
197536;California;California;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;02/04/2008;264
197546;Calypso;Calypso;BETAA_VUL_GVS;Surrendered;No;;N;;;;16/01/2007;1266
197563;Candy;Candy;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;
197575;Capri;Capri;BETAA_VUL_GVS;Surrendered;No;;N;;;;;
197592;Carisma;Carisma;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;31/03/2000;60
197646;Centro;Centro;BETAA_VUL_GVS;Surrendered;No;;N;;;;;
197648;Cercopura;Cercopura;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;
197650;Cercostar;Cercostar;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;60
197651;Cercostop;Cercostop;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;
197652;Cercotoll;Cercotoll;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;
197656;Ceriz;Ceriz;BETAA_VUL_GVS;Surrendered;No;;N;;;;;359
197657;Cermo;Cermo;BETAA_VUL_GVS;Surrendered;No;;N;;;;;
197662;Cesar;Cesar;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;587
197663;Cesira;Cesira;BETAA_VUL_GVS;Surrendered;No;;N;;;;27/03/2006;
197690;Chiara;Chiara;BETAA_VUL_GVS;Surrendered;No;;N;;;;31/03/2000;
197704;Cia;Cia;BETAA_VUL_GVS;Registered;Yes;;N;;;;29/03/2017;479
197726;Clementina;Clementina;BETAA_VUL_GVS;Surrendered;No;;N;;;;13/11/2018;264
197744;Collins;Collins;BETAA_VUL_GVS;Registered;Yes;;N;;;;21/03/2019;000
197749;Columbia;Columbia;BETAA_VUL_GVS;Surrendered;No;;N;;;;;
197759;Complet;Complet;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;20/03/2003;847
197763;Concerto;Concerto;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;18/02/2002;
197768;Condor;Condor;BETAA_VUL_GVS;Registered;Yes;;N;;;;;571
197802;Costa;Costa;BETAA_VUL_GVS;Registered;Yes;;N;;;;11/03/2015;479
197811;Cremona;Cremona;BETAA_VUL_GVS;Surrendered;No;;N;;;;21/01/2008;1681
197812;Crest;Crest;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;359
197842;Dabdou;Dabdou;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;18/06/2018;587
197850;Dallas;Dallas;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;06/05/2009;
197865;Dardo;Dardo;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;27/03/2006;15
197871;Data;Data;BETAA_VUL_GVS;Surrendered;No;;N;;;;16/01/2007;1266
197872;Daunia;Daunia;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;60
197882;Dear;Dear;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;359
197893;Deli 24;Deli 24;BETAA_VUL_GVS;Surrendered;No;;N;;;;;
197896;Delitzsch poly;Delitzsch poly;BETAA_VUL_GVS;Surrendered;No;;N;;;;;
197897;Delo;Delo;BETAA_VUL_GVS;Registered;Yes;;N;;;;29/03/2017;479
197928;Dimono;Dimono;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;21/10/2002;1266
197932;Dione;Dione;BETAA_VUL_GVS;Registered;Yes;;N;;;;11/03/2014;479
197956;Donna;Donna;BETAA_VUL_GVS;Surrendered;No;;N;;;;;256
197958;Dora;Dora;BETAA_VUL_GVS;Surrendered;No;;N;;;;;264
197959;Dorado;Dorado;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;256
197962;Doriana;Doriana;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;15/03/2005;1681
197964;Dorico;Dorico;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;21/01/2008;1266
197965;Dorisa;Dorisa;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;21/01/2008;1266
197983;Duilio;Duilio;BETAA_VUL_GVS;Surrendered;No;;N;;;;;359
197987;Dulce;Dulce;BETAA_VUL_GVS;Registered;Yes;;N;;;;11/03/2015;479
197991;Duna;Duna;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;107
197994;Duplo;Duplo;BETAA_VUL_GVS;Surrendered;No;;N;;;;;
197995;Duro;Duro;BETAA_VUL_GVS;Surrendered;No;;N;;;;;15
299401;Hilleshog Monatunno;Hilleshog Monatunno;BETAA_VUL_GVS;Registered;Yes;Catalogue Modification;N;;;;20/12/1973;1890
198000;Dynasty;Dynasty;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;;587
198004;Ebe;Ebe;BETAA_VUL_GVS;Registered;Yes;;N;;;;29/03/2017;479
198022;Eko;Eko;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;16/01/2007;1266
198028;Elbroes;Elbroes;BETAA_VUL_GVS;Registered;Yes;;N;;;;20/10/2015;479
198036;Elettra;Elettra;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;21/01/2008;1266
198045;Ellen;Ellen;BETAA_VUL_GVS;Surrendered;Yes;;N;;;;09/01/2001;264
198085;Era;Era;BETAA_VUL_GVS;Registered;Yes;;N;;;;29/03/2017;479
198091;Ernestina;Ernestina;BETAA_VUL_GVS;Surrendered;No;;N;;;;06/05/2009;
198106;Essenzia KWS;Essenzia KWS;BETAA_VUL_GVS;Registered;No;;N;;;;02/02/2018;183
198128;Europa;Europa;BETAA_VUL_GVS;Registered;Yes;;N;;;;11/03/2014;479
198130;Eva;Eva;BETAA_VUL_GVS;Surrendered;No;;N;;;;;264
